"District","Date","County","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Burnham Wood Charter School District",2020-10-04,"El Paso",71801,1223,517.28,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"Triumph Public High Schools-El Paso",2020-10-04,"El Paso",71803,137,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Paso Academy",2020-10-04,"El Paso",71804,272,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harmony Science Acad (El Paso)",2020-10-04,"El Paso",71806,4125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Fe Preparatory School",2020-10-04,"El Paso",71807,178,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vista Del Futuro Charter School",2020-10-04,"El Paso",71809,251,100.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Paso Leadership Academy",2020-10-04,"El Paso",71810,214,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clint ISD",2020-10-04,"El Paso,Hudspeth",71901,10543,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Paso ISD",2020-10-04,"El Paso",71902,49807,1543.45,2,2,11,9,1,17,6,3,7,32,32,2,49,23
"Fabens ISD",2020-10-04,"El Paso",71903,2013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Elizario ISD",2020-10-04,"El Paso",71904,3131,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ysleta ISD",2020-10-04,"El Paso",71905,38040,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthony ISD",2020-10-04,"El Paso",71906,768,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canutillo ISD",2020-10-04,"El Paso",71907,5949,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tornillo ISD",2020-10-04,"El Paso,Hudspeth",71908,869,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Socorro ISD",2020-10-04,"El Paso",71909,46630,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Premier High Schools",2020-10-04,"Erath",72801,3734,699.57,0,0,4,1,0,5,0,0,0,8,7,3,9,3
"Erath Excels Academy Inc",2020-10-04,"Erath",72802,46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Three Way ISD",2020-10-04,"Erath,Hood,Somervell",72901,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,5,1,0,2,5
"Dublin ISD",2020-10-04,"Comanche,Erath",72902,1055,874.18,0,0,3,3,0,6,0,0,1,15,7,0,23,0
"Stephenville ISD",2020-10-04,"Erath",72903,3626,2974.21,1,3,8,2,0,2,12,10,5,30,14,0,10,49
"Bluff Dale ISD",2020-10-04,"Erath,Hood",72904,222,213.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Huckabay ISD",2020-10-04,"Eastland,Erath,Palo Pinto",72908,280,266,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"Lingleville ISD",2020-10-04,"Comanche,Eastland,Erath",72909,278,275.22,0,0,1,0,0,1,0,1,0,1,0,0,2,0
"Morgan Mill ISD",2020-10-04,"Erath,Palo Pinto",72910,125,118.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chilton ISD",2020-10-04,"Falls,McLennan",73901,525,493.5,0,0,4,0,0,2,2,1,0,4,0,0,3,2
"Marlin ISD",2020-10-04,"Falls,Limestone,McLennan,Milam,Robertson",73903,628,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Westphalia ISD",2020-10-04,"Bell,Falls",73904,159,152.64,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"Rosebud-Lott ISD",2020-10-04,"Bell,Falls,Milam,Robertson",73905,678,510.96,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Bonham ISD",2020-10-04,"Fannin,Hunt",74903,1687,1393.71,NA,NA,NA,NA,NA,NA,NA,2,3,1,0,0,6,0
"Dodd City ISD",2020-10-04,"Fannin",74904,332,308.76,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"Ector ISD",2020-10-04,"Fannin",74905,259,238.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honey Grove ISD",2020-10-04,"Fannin,Lamar",74907,613,535.89,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Leonard ISD",2020-10-04,"Collin,Fannin,Hunt",74909,820,654.92,0,0,1,0,0,0,1,0,0,2,2,0,1,3
"Savoy ISD",2020-10-04,"Fannin,Grayson",74911,171,140.22,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Trenton ISD",2020-10-04,"Collin,Fannin,Grayson",74912,710,583.05,0,0,0,1,0,1,0,0,0,6,4,1,2,7
"Sam Rayburn ISD",2020-10-04,"Fannin",74917,517,464.93,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"Flatonia ISD",2020-10-04,"Bastrop,Caldwell,Fayette,Gonzales,Lavaca",75901,589,527.41,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"La Grange ISD",2020-10-04,"Bastrop,Colorado,Fayette,Lee",75902,1957,1634.61,0,0,2,0,0,0,2,2,2,7,0,0,7,4
"Schulenburg ISD",2020-10-04,"Colorado,Fayette,Lavaca",75903,681,598.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fayetteville ISD",2020-10-04,"Austin,Colorado,Fayette",75906,256,230.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Round Top-Carmine ISD",2020-10-04,"Austin,Fayette,Lee,Washington",75908,240,199.2,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,1,1
"Roby Cisd",2020-10-04,"Fisher,Jones,Scurry",76903,304,264.48,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,3,0
"Rotan ISD",2020-10-04,"Fisher,Kent,Scurry,Stonewall",76904,243,233.28,0,0,0,1,0,1,0,0,0,1,1,0,2,0
"Floydada ISD",2020-10-04,"Briscoe,Crosby,Dickens,Floyd,Hale,Motley",77901,690,594.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lockney ISD",2020-10-04,"Briscoe,Floyd,Hale,Swisher",77902,454,392.12,NA,NA,NA,NA,NA,NA,NA,0,0,4,7,0,5,6
"Crowell ISD",2020-10-04,"Baylor,Cottle,Foard,Hardeman,King,Knox,Wilbarger",78901,199,195.02,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"Lamar Cisd",2020-10-04,"Austin,Brazoria,Fort Bend,Waller,Wharton",79901,36088,15904,0,1,0,2,0,0,3,11,7,19,22,5,0,54
"Needville ISD",2020-10-04,"Brazoria,Fort Bend,Wharton",79906,3297,2325.99,NA,NA,NA,NA,NA,NA,NA,1,1,3,0,0,2,3
"Fort Bend ISD",2020-10-04,"Brazoria,Fort Bend,Harris",79907,76586,9.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stafford Msd",2020-10-04,"Fort Bend,Harris",79910,3052,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mount Vernon ISD",2020-10-04,"Camp,Franklin,Hopkins,Red River,Titus,Wood",80901,1487,1288.93,NA,NA,NA,NA,NA,NA,NA,2,3,10,5,1,6,13
"Fairfield ISD",2020-10-04,"Anderson,Freestone,Navarro",81902,1698,1358.4,0,0,4,2,1,1,4,1,0,7,4,1,3,8
"Teague ISD",2020-10-04,"Freestone,Leon,Limestone",81904,1115,949.47,0,0,3,2,0,0,5,0,0,10,5,0,2,13
"Wortham ISD",2020-10-04,"Freestone,Limestone,Navarro",81905,143,128.7,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Dew ISD",2020-10-04,"Freestone",81906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dilley ISD",2020-10-04,"Dimmit,Frio,La Salle,Zavala",82902,874,508.82,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Pearsall ISD",2020-10-04,"Atascosa,Frio,La Salle,Medina,Uvalde,Zavala",82903,2057,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seagraves ISD",2020-10-04,"Gaines,Terry,Yoakum",83901,510,443.7,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1
"Loop ISD",2020-10-04,"Dawson,Gaines,Terry",83902,146,137.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seminole ISD",2020-10-04,"Andrews,Dawson,Gaines,Martin,Yoakum",83903,2861,2425.58,2,0,2,2,0,6,0,2,2,7,4,0,11,4
"Odyssey Academy Inc",2020-10-04,"Galveston",84802,1400,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambassadors Preparatory Academy",2020-10-04,"Galveston",84804,233,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dickinson ISD",2020-10-04,"Chambers,Galveston",84901,11426,1059.92,0,0,1,0,0,0,1,1,2,2,6,0,4,7
"Galveston ISD",2020-10-04,"Brazoria,Chambers,Galveston",84902,4431,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"High Island ISD",2020-10-04,"Chambers,Galveston",84903,157,138.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Texas City ISD",2020-10-04,"Galveston",84906,7958,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hitchcock ISD",2020-10-04,"Brazoria,Galveston",84908,1563,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Santa Fe ISD",2020-10-04,"Brazoria,Galveston",84909,4270,420.73,0,0,1,0,0,1,0,1,0,7,1,3,3,3
"Clear Creek ISD",2020-10-04,"Brazoria,Chambers,Galveston,Harris",84910,40308,27915.05,2,1,5,5,0,10,3,9,4,19,9,3,29,9
"Friendswood ISD",2020-10-04,"Brazoria,Galveston,Harris",84911,4516,3351,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,0,2,3
"Post ISD",2020-10-04,"Borden,Crosby,Garza,Kent,Lynn,Scurry",85902,794,727.37,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,3,0
"Southland ISD",2020-10-04,"Crosby,Garza,Lubbock,Lynn",85903,120,103.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doss Consolidated Csd",2020-10-04,"Gillespie,Kimble,Mason",86024,19,16.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fredericksburg ISD",2020-10-04,"Blanco,Gillespie,Kendall,Kerr,Llano,Mason",86901,1024,901.12,0,0,9,1,0,0,10,4,9,17,1,2,7,22
"Harper ISD",2020-10-04,"Gillespie,Kerr,Kimble,Mason",86902,568,524.81,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Glasscock County ISD",2020-10-04,"Glasscock,Howard,Martin,Midland,Reagan,Sterling,Upton",87901,303,285.07,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,0,3,1
"Goliad ISD",2020-10-04,"Bee,DeWitt,Goliad,Karnes,Refugio,Victoria",88902,1251,913.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gonzales ISD",2020-10-04,"Caldwell,DeWitt,Gonzales,Guadalupe",89901,855,555.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nixon-Smiley Cisd",2020-10-04,"DeWitt,Gonzales,Guadalupe,Karnes,Wilson",89903,1021,747.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Waelder ISD",2020-10-04,"Bastrop,Caldwell,Fayette,Gonzales",89905,274,243.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lefors ISD",2020-10-04,"Gray,Wheeler",90902,165,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mclean ISD",2020-10-04,"Collingsworth,Donley,Gray,Wheeler",90903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pampa ISD",2020-10-04,"Carson,Gray,Hutchinson,Roberts",90904,3432,2753.57,0,0,1,0,0,0,1,0,0,6,8,0,5,9
"Grandview-Hopkins ISD",2020-10-04,"Carson,Gray",90905,38,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bells ISD",2020-10-04,"Fannin,Grayson",91901,879,799.18,NA,NA,NA,NA,NA,NA,NA,0,0,1,3,1,1,2
"Collinsville ISD",2020-10-04,"Cooke,Grayson",91902,521,453.78,0,0,0,2,0,0,2,0,0,2,4,0,0,6
"Denison ISD",2020-10-04,"Fannin,Grayson",91903,4554,3440.55,0,1,0,0,0,0,1,2,1,5,7,0,0,15
"Howe ISD",2020-10-04,"Grayson",91905,366,303.78,NA,NA,NA,NA,NA,NA,NA,0,0,1,3,0,3,1
"Sherman ISD",2020-10-04,"Grayson",91906,2245,1508.1140446,3,1,0,2,1,4,1,3,3,9,10,8,11,6
"Tioga ISD",2020-10-04,"Cooke,Denton,Grayson",91907,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,0,4,0
"Van Alstyne ISD",2020-10-04,"Collin,Grayson",91908,1885,1667.25,0,0,2,0,0,2,0,0,0,11,2,1,12,0
"Whitesboro ISD",2020-10-04,"Cooke,Grayson",91909,446,365.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whitewright ISD",2020-10-04,"Collin,Fannin,Grayson",91910,752,57,NA,NA,NA,NA,NA,NA,NA,0,0,4,3,0,4,3
"Pottsboro ISD",2020-10-04,"Grayson",91913,1410,1180.51,0,0,0,1,0,0,1,0,1,13,5,0,14,5
"S And S Cisd",2020-10-04,"Grayson",91914,975,792.87,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,1,1
"Gunter ISD",2020-10-04,"Collin,Grayson",91917,999,861.12,3,0,3,3,0,0,9,3,4,14,5,0,5,21
"Tom Bean ISD",2020-10-04,"Grayson",91918,NA,NA,0,0,1,0,0,0,1,0,1,4,0,0,3,2
"East Texas Charter Schools",2020-10-04,"Gregg",92801,125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gladewater ISD",2020-10-04,"Gregg,Smith,Upshur",92901,1626,1281.0085,NA,NA,NA,NA,NA,NA,NA,0,2,0,6,2,3,3
"Kilgore ISD",2020-10-04,"Gregg,Rusk",92902,3834,3204.8,0,0,5,0,0,2,3,0,2,21,20,1,21,21
"Longview ISD",2020-10-04,"Gregg,Harrison,Rusk,Upshur",92903,8219,5592.36,0,1,0,0,0,0,1,9,13,25,20,3,9,55
"Pine Tree ISD",2020-10-04,"Gregg",92904,4431,1506.54,0,0,1,1,0,2,0,0,2,17,6,0,20,5
"Sabine ISD",2020-10-04,"Gregg,Smith",92906,450,387,NA,NA,NA,NA,NA,NA,NA,0,2,1,4,0,2,5
"Spring Hill ISD",2020-10-04,"Gregg",92907,1927,1515.77,0,2,0,0,0,1,1,0,4,6,3,0,1,12
"White Oak ISD",2020-10-04,"Gregg,Upshur",92908,767,677.06,0,2,0,1,0,1,2,3,4,20,14,0,5,36
"Anderson-Shiro Cisd",2020-10-04,"Brazos,Grimes,Montgomery,Walker",93901,906,760.26,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,2
"Iola ISD",2020-10-04,"Brazos,Grimes,Madison",93903,529,471.44,0,0,1,0,0,0,1,0,1,9,0,1,4,5
"Navasota ISD",2020-10-04,"Brazos,Burleson,Grimes,Montgomery,Waller,Washington",93904,2800,1956.97,NA,NA,NA,NA,NA,NA,NA,0,3,2,2,0,3,4
"Richards ISD",2020-10-04,"Grimes,Montgomery,Walker",93905,176,110.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seguin ISD",2020-10-04,"Caldwell,Gonzales,Guadalupe,Wilson",94901,6578,3301.6,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,2,1
"Schertz-Cibolo-U City ISD",2020-10-04,"Bexar,Comal,Guadalupe",94902,14759,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Navarro ISD",2020-10-04,"Comal,Guadalupe,Hays",94903,1828,1329.78,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,2,0
"Marion ISD",2020-10-04,"Bexar,Guadalupe",94904,334,220.44,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,2,0
"Abernathy ISD",2020-10-04,"Hale,Hockley,Lamb,Lubbock",95901,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,0,0,3,1
"Cotton Center ISD",2020-10-04,"Hale,Lamb",95902,102,93.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hale Center ISD",2020-10-04,"Hale",95903,604,506.46,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Petersburg ISD",2020-10-04,"Crosby,Floyd,Hale,Lubbock",95904,277,218.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Plainview ISD",2020-10-04,"Castro,Floyd,Hale,Swisher",95905,4665,3592.05,0,4,4,5,1,12,0,5,8,17,22,4,48,0
"Memphis ISD",2020-10-04,"Briscoe,Childress,Collingsworth,Cottle,Donley,Hall,Motley",96904,427,359.7,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Turkey-Quitaque ISD",2020-10-04,"Briscoe,Floyd,Hall,Motley",96905,193,181.42,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"Hamilton ISD",2020-10-04,"Bosque,Comanche,Hamilton,Mills",97902,806,644.8,0,0,1,0,0,0,1,1,1,2,1,0,4,1
"Hico ISD",2020-10-04,"Bosque,Comanche,Erath,Hamilton",97903,567,459.48,0,0,1,0,0,1,0,0,0,2,0,0,2,0
"Gruver ISD",2020-10-04,"Hansford,Sherman",98901,442,432.18,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Pringle-Morse Cisd",2020-10-04,"Hansford,Hutchinson,Moore,Roberts,Sherman",98903,111,105.45,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"Spearman ISD",2020-10-04,"Hansford,Hutchinson,Ochiltree,Roberts",98904,799,748.58,0,2,5,13,6,4,10,1,2,9,15,6,11,10
"Chillicothe ISD",2020-10-04,"Foard,Hardeman,Wilbarger",99902,210,203.7,0,1,0,0,0,0,1,1,1,1,1,0,0,4
"Quanah ISD",2020-10-04,"Childress,Cottle,Foard,Hardeman",99903,511,489.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kountze ISD",2020-10-04,"Hardin,Polk,Tyler",100903,329,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silsbee ISD",2020-10-04,"Hardin,Jasper,Tyler",100904,2676,2057.78,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Hardin-Jefferson ISD",2020-10-04,"Chambers,Hardin,Jefferson,Liberty",100905,2472,1936.77,0,0,1,0,0,0,1,0,0,17,2,5,9,5
"Lumberton ISD",2020-10-04,"Hardin,Jasper,Jefferson,Orange",100907,4013,3391.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"West Hardin County Cisd",2020-10-04,"Hardin,Liberty,Polk",100908,521,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harris County Dept Of Ed",2020-10-04,"Harris",101000,497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ser-Ninos Charter School",2020-10-04,"Harris",101802,565,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristoi Classical Academy",2020-10-04,"Harris",101803,1070,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George I Sanchez Charter",2020-10-04,"Harris",101804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raul Yzaguirre Schools For Success",2020-10-04,"Harris",101806,1330,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University Of Houston Charter School",2020-10-04,"Harris",101807,89,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy Of Accelerated Learning Inc",2020-10-04,"Harris",101810,789,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Excel Academy",2020-10-04,"Harris",101811,228,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Varnett Public School",2020-10-04,"Harris",101814,1139,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief Montessori Community School",2020-10-04,"Harris",101815,323,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amigos Por Vida-Friends For Life Pub Chtr Sch",2020-10-04,"Harris",101819,509,5.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houston Heights High School",2020-10-04,"Harris",101821,160,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houston Gateway Academy Inc",2020-10-04,"Harris",101828,2214,830.34,0,0,0,1,0,1,0,2,0,1,3,0,5,1
"Calvin Nelms Charter Schools",2020-10-04,"Harris",101837,302,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southwest School",2020-10-04,"Harris",101838,355,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Two Dimensions Preparatory Academy",2020-10-04,"Harris",101840,370,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comquest Academy",2020-10-04,"Harris",101842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yes Prep Public Schools Inc",2020-10-04,"Harris",101845,966,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harmony Science Academy",2020-10-04,"Harris",101846,3663,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beatrice Mayes Institute Charter School",2020-10-04,"Harris",101847,466,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accelerated Intermediate Academy",2020-10-04,"Harris",101849,236,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Promise Community School",2020-10-04,"Harris",101853,1538,594.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meyerpark Elementary",2020-10-04,"Harris",101855,251,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draw Academy",2020-10-04,"Harris",101856,716,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harmony School Of Excellence",2020-10-04,"Harris",101858,6087,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Step Charter School",2020-10-04,"Harris",101859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Rhodes School",2020-10-04,"Harris",101861,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Harmony School Of Science - Houston",2020-10-04,"Harris",101862,4023,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Lawson Academy",2020-10-04,"Harris",101864,184,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pro-Vision Academy",2020-10-04,"Harris",101868,407,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Beta Academy",2020-10-04,"Harris",101870,1241,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A+ Unlimited Potential",2020-10-04,"Harris",101871,131,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Etoile Academy Charter School",2020-10-04,"Harris",101872,200,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yellowstone College Preparatory",2020-10-04,"Harris",101873,237,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Legacy School Of Sport Sciences",2020-10-04,"Harris",101874,368,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bloom Academy Charter School",2020-10-04,"Harris",101875,75,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reve Preparatory Charter School",2020-10-04,"Harris",101876,118,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elevate Collegiate Charter School",2020-10-04,"Harris",101877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houston Classical Charter School",2020-10-04,"Harris",101878,60,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aldine ISD",2020-10-04,"Harris,Montgomery",101902,61860,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-10-04,"Fort Bend,Harris",101903,40546,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Channelview ISD",2020-10-04,"Harris",101905,9304,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crosby ISD",2020-10-04,"Chambers,Harris,Liberty",101906,6148,161.59,3,2,12,2,10,5,4,4,4,16,8,10,11,11
"Cypress-Fairbanks ISD",2020-10-04,"Harris",101907,114599,51939,3,4,12,12,4,1,26,14,8,25,44,14,14,63
"Deer Park ISD",2020-10-04,"Harris",101908,2916,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galena Park ISD",2020-10-04,"Harris",101910,21597,165.58,1,0,1,5,0,7,0,1,0,1,17,0,19,0
"Goose Creek Cisd",2020-10-04,"Chambers,Harris",101911,23259,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
